t,l1,l2,l3,num_cells,cm_x,cm_y,cm_z,shape_velocity,l1_micro,l2_micro,l3_micro,cluster
79,4593.1382522408,527.5863038503286,20.744193908870386,8,265.375,170.5,17.625,227.70051643188532,1.2116915943118443,-0.4835402418558594,-0.1046705330763622,0
80,4488.869126803409,580.0296116772271,23.710636519363145,8,266.0,170.125,18.0,116.75251961763658,0.7959318231318093,0.5787234356940942,0.2178957087490092,0
81,4470.63328964514,627.9164741000186,22.106486254841066,8,266.125,172.25,18.125,51.2666621464029,0.8223556592871972,1.627679099392143,0.04394794651449896,0
82,4470.624931237149,515.9142518632547,20.742066899594906,8,265.625,172.75,17.875,112.0105329690624,0.6558702287959619,-0.9456420651524766,-0.1186190980494164,0
83,4509.451510885188,515.1651397476353,22.961474367177097,8,265.625,174.375,17.875,38.89717503411337,0.18086029087129418,-1.235711304263667,0.10203237417744138,0
84,4657.339063482581,548.7490534704862,21.83375804693257,8,264.625,176.0,18.25,151.6571106750007,0.21683775682477346,-0.800188319556419,-0.05259151695599584,0
85,4718.831250850264,563.5374539810445,21.631295168689714,9,262.44444444444446,178.11111111111111,18.88888888888889,63.245765772421386,-0.6331206315032318,-0.7268267382693594,-0.11225085093842146,0
86,4414.0907521136105,600.7557114602977,19.48411493848862,11,262.72727272727275,177.36363636363637,18.09090909090909,307.0123460758497,-4.504393207390976,-0.21361036375732922,-0.3903187844745304,0
87,4617.4626317597595,704.4970363217836,23.193393142945975,14,260.7857142857143,173.92857142857142,18.714285714285715,228.3334024176536,-4.662575408195778,1.3237929939285813,-0.052948250000012465,0
88,4966.813847968492,698.8384426895941,24.898820453024694,15,262.8,177.06666666666666,18.266666666666666,349.40120267498355,-4.113248347090206,0.8672870706928109,0.076764885366992,0
89,6257.130941561525,680.076977842381,25.569424346093626,16,269.375,178.625,17.9375,1290.453658327631,2.734541225465591,0.34180131675996606,0.08247143687318115,0
90,6539.535303186476,686.1694411072206,27.631193206303905,16,269.9375,177.25,17.6875,282.47759639352364,2.4651847010557617,0.3295516519699291,0.24089570579668607,0
91,6941.123820736772,679.6223104366484,27.16793132657972,16,269.3125,178.3125,17.875,401.64215037746146,2.990884238993303,0.10683486803242204,0.13133998698494498,0
92,7333.156628226154,673.2077290128067,24.815330261038607,16,270.5625,177.5625,17.75,392.0923408262689,3.530145503636419,-0.14065115184174815,-0.1402010368921962,0
93,7249.223654959396,660.4644370041998,27.304095536402688,16,274.4375,173.5625,18.0,84.93132193255151,1.2720275383530577,-0.12346534386179897,0.08708389852484544,0
94,7296.909232373164,693.567595282819,26.09348484401746,16,276.375,173.4375,17.6875,58.06202682952298,0.005717088045216201,0.8911600766898502,-0.02718006546400087,0
95,7564.072715224456,690.6984171525091,26.46714887303514,16,276.1875,173.4375,17.6875,267.179150341457,0.31403069530631456,1.1060226531996484,0.060488161198371415,0
96,7611.985982546541,702.6481275574079,24.725264896051435,16,275.75,173.875,17.75,49.411647655464485,-0.24787286327723734,1.4895112930925016,-0.04311472953217521,0
97,7585.111608742195,546.9541563484588,25.258453659345495,16,279.375,173.0,17.6875,157.99724342040298,-0.7143075881369612,-1.6346770925425247,0.12050265582171615,0
98,7356.484753213726,615.5055686655176,25.986240620756615,16,277.9375,171.9375,17.375,238.68402726902337,-2.066901426167675,-0.39139044033384707,0.3013106801195242,0
99,7828.660404594275,596.6814833413389,23.056549564385435,16,276.25,171.8125,16.9375,472.559811065883,0.8956770866165016,-1.0823734889520722,0.10389459398692491,0
100,7609.635303875317,585.8924282892779,22.41758033540366,16,278.875,173.9375,16.8125,219.2916020634209,-0.33681039461946227,-1.6112506238144775,0.09427443883265774,0
101,7704.297053773229,616.1036194570581,20.185264269714196,16,277.4375,173.3125,16.5,99.39087584143815,0.21029305662192144,-1.5153289986037315,-0.1237742030108695,0
102,7819.567405842514,634.6526151552486,19.397166502236782,16,280.4375,172.9375,16.25,116.75590094586,0.9469269521069634,-1.7926118078982505,-0.21553542163237172,0
103,7418.461862590397,809.1223262440567,17.657998665545705,16,278.25,175.5625,16.0625,437.4109756507629,-1.296080440877148,0.7799962071832418,-0.43489322733287405,0
104,7301.952461203908,947.6555591084579,18.85291718763506,16,278.1875,176.25,16.4375,181.0174716693802,-1.654811254402759,2.3146856818917385,-0.36249350301034866,0
105,7440.128953482161,978.3251429554641,21.913091062374914,16,279.0625,177.9375,16.5,141.57235272402,-0.38608984164794435,1.9212838636733878,-0.10820349410324237,0
106,7730.5548121828615,982.015275457755,22.63694360938373,16,279.8125,179.3125,16.3125,290.45020303389987,1.7432802186725667,0.9282758330165102,-0.13919756714595355,0
107,7665.103974387682,964.1281643263399,24.510048785978906,16,279.4375,182.5,16.5625,67.87686966648587,1.7766835783302497,-0.5635593821876377,-0.032247071901389646,0
108,7409.1035691263005,1053.3112402140173,28.573471909681146,16,279.4375,183.4375,16.5625,271.1205265675414,0.7376878564645892,-0.2820907838460869,0.25813235722137495,0
109,7260.062955717114,1088.260114173739,32.137867609147044,16,280.5,184.5625,16.6875,153.1248939694047,0.30923253582764687,-1.0807760795466876,0.452866224416713,0
110,7226.448102985838,1249.3123232350147,30.63801127914686,16,277.0625,187.3125,16.5,164.52969925418583,0.23377941506083744,0.07346549444688577,0.2112634526908277,0
111,6839.240395238189,1246.69816086209,32.303631399720906,16,276.6875,187.1875,17.0,387.22011450141207,-1.684750896219171,-1.054787158280405,0.233208078666034,0
112,6814.844705211192,1290.6086012357373,32.97638105307095,16,274.75,190.0625,16.9375,50.2367301662542,-1.5620245337412655,-1.270734299003749,0.17500123462636097,0
113,6691.17247008658,1442.8481020499466,32.604427863471145,16,274.75,193.0,16.75,196.142360794532,-2.1182715116448207,0.0687864859176841,0.0207578345969619,0
114,6878.863471404199,1496.3674593836927,31.292506712109468,16,277.1875,192.4375,16.5,195.176726896767,-0.6274479604190049,0.10413880369332418,-0.20051929781743727,1
115,7000.818171039186,1685.3636775520076,30.673620158807342,16,275.4375,196.0,16.625,224.92866039158088,0.6102870156661453,1.6176208995042956,-0.3490260224405173,1
116,7152.018230410012,1750.9501703546457,30.27769298534286,16,277.625,198.8125,16.625,164.81262921942084,1.9450698654996188,1.5782511783042068,-0.4636178074641215,1
