t,l1,l2,l3,num_cells,cm_x,cm_y,cm_z,shape_velocity,l1_micro,l2_micro,l3_micro
124,2412.478867348532,583.1115343518039,1.7565370751741147,7,212.85714285714286,284.14285714285717,11.428571428571429,159.7898587271597,-0.6969663094595901,1.3461111064023754,0.48964289371722014
125,2479.8374542021866,628.838876911981,1.0787709266494532,7,210.71428571428572,284.0,11.142857142857142,81.41638930515903,-0.9796210914090935,0.5608314359162492,0.12794011825324936
126,2765.9077423046556,695.7686436501738,1.017491596192342,7,209.28571428571428,286.57142857142856,11.571428571428571,293.7955193086084,0.9040429205859013,0.5347653453306442,0.02050472349260357
127,2784.847304160032,715.7909818469824,0.3929639929858337,8,203.625,283.875,11.75,27.567935448055806,-0.022382585491186546,-0.16139721238712212,-0.4024643174856892
128,2911.3554763509455,722.2689104718473,0.922488177207233,8,203.25,286.125,12.0,126.67502352956713,0.05208358584597761,-0.7900095723183824,-0.06295480207942983
129,3148.7155119554036,767.9449512704192,1.2926617741774322,8,201.375,289.875,11.875,241.7151717076822,1.4713833419052875,-0.714710721082227,0.14700083664404262
130,3206.680323504905,839.0780112892973,0.7416652057982374,8,200.0,285.5,12.0,91.76129468810309,1.823476142843667,-0.06933835454386994,-0.0748915553842524
131,3054.208071062405,867.3886553533507,1.0282735842433555,8,198.0,288.25,11.75,155.07856872106345,-0.0773065124966621,-0.14327203664467802,0.15533415183014376
132,3058.376352389944,925.2065810726084,0.6983165374496588,8,199.625,290.75,11.875,57.96892249607402,-0.33797848179868595,0.13441013971704052,0.012020713119426873
133,3286.7957508315108,936.3281382645138,0.5479859039756143,8,200.25,294.5,11.625,228.6900374263809,1.4975895675320103,-0.14771037174969237,-0.052799762181183985
134,3128.3375026273234,934.5815190941457,0.4403532785309695,8,200.875,296.5,12.0,158.46791059153966,0.09005274414715103,-0.5573682762120882,-0.11233473318643628
135,3006.62130914538,1038.1763355048445,0.4211053497756212,8,202.625,296.0,11.625,159.8334073758768,-0.9246392258888321,0.6414705761673112,-0.1257212100586127
136,2986.5330989980703,1063.0893837212739,0.5962672806561146,8,199.875,294.125,11.5,32.00354417964746,-0.99860118258988,0.5298074275263005,-0.004677623694354316
137,2887.638476365588,1087.273108859764,0.38528977464692515,8,202.75,294.125,11.5,101.80885746683926,-1.9476249247453552,0.42124350352393947,-0.17747827529375082
138,3003.4590827721213,1124.7147595436918,0.9980326841863951,8,203.25,292.5,11.625,121.72372623358025,-0.636963105877399,0.40415292510583356,0.22161578473578125
139,3126.948047173086,1100.7323820229187,0.6008208039951971,8,204.625,291.125,11.75,125.79680654789821,0.8380302100733488,-0.6497772803074966,0.007931080276664004
140,3099.342960438059,1125.125900901514,0.87488866042723,8,203.875,289.625,12.0,36.839648344123226,0.9203889417784055,-1.0306348152302434,0.1399623614867137
141,2949.6714947441806,1210.482689857149,0.5176903986708059,8,200.5,290.75,11.625,172.30048361617804,-0.07716413656054755,-0.503568449956262,-0.09067346002833443
142,2910.5243844721876,1167.7955259751593,0.7269645526530029,8,199.5,289.75,11.875,57.92006559567189,0.07050277905899804,-1.7309235940454357,0.012892628933175998
143,3005.638475858915,1335.0903474064064,0.5524267346776217,8,199.125,290.375,11.75,192.44292172352172,1.4350847157441038,0.09448392516855364,-0.11176015167653175
144,3017.990400828696,1349.8742030039705,0.8697711673337245,8,197.75,292.75,12.125,19.2674114576311,1.8765113239950892,-0.22690840237893184,0.05015399216304672
145,2950.5356773766625,1466.278202258524,1.0923703648136387,8,197.125,292.75,11.875,134.5365389358858,1.5509865642678164,0.8436551297397656,0.15327202631842196
146,2732.2487229544786,1493.720197203671,0.8592048418499878,8,196.125,292.875,12.125,220.0052543091714,-0.2926059455945236,0.7436194940232355,0.009228397112931108
147,2458.404918777465,1659.6968021757023,0.4920290468340844,8,195.125,287.0,11.625,320.21679734555585,-2.9232351133427414,2.5135428539115594,-0.23357271178956196
148,2554.392895424428,1633.0467133153663,0.7478912602056798,8,194.0,287.0,11.75,99.61919675702045,-1.9643458093254083,1.9127662806116774,-0.053360275157650294
149,2602.741897647643,1496.9724861695393,1.191866182817881,8,194.375,289.25,11.625,144.40920477257154,-1.6020664772989264,-0.028242753767706574,0.16778153245760652
150,2666.655686391095,1411.4488730199494,0.8173155889562238,8,190.5,291.375,11.75,106.76797781100241,-1.4089919675435212,-1.3418469383830924,-0.017825079233862118
151,2778.994070533211,1424.2531918303675,0.8464876364200818,8,190.5,292.875,11.375,113.06575070669629,-0.5661749784468739,-1.370759490859001,-0.0040684112240984005
152,2913.7603823812947,1491.7849903441793,0.9233772745260876,8,189.375,293.625,11.5,150.73987041145236,0.7886558870766649,-0.8847415893377502,0.03926227832299789
153,2977.1947025499285,1581.7328187579608,1.2287286921102738,8,188.625,294.25,11.375,110.06642563061654,1.149506247363874,0.1921030491112461,0.18826343498108367
154,3163.2554741042113,1560.1690858953543,0.7785650004343928,8,186.625,291.125,11.125,187.3067215390152,2.2613641594798253,-0.015372006630997248,-0.0338552120244795
155,3243.6801595465217,1502.2157710707656,1.0415693827145514,8,188.25,289.0,11.0,99.13014626720555,2.2454421792985997,-0.8438112651715812,0.09641071192482153
156,3221.8682171885157,1556.3049052256952,0.4362525857877879,8,185.75,283.25,10.625,58.32462320052812,1.256222962721786,-0.5062382977124997,-0.2821219867717043
157,3146.1155646116704,1690.3721775829517,0.5435078053800024,8,184.75,284.375,10.875,153.98866644472628,-0.13350050759861176,0.6784249120177819,-0.212632195100534
158,3048.9604305243274,1759.6125488510447,0.9113956246289765,8,185.375,285.5,11.0,119.30416771563557,-1.4751646932939408,0.48534717434069563,0.03128753228969128
159,3063.785601581674,1880.5711074872636,1.065165931062194,8,184.375,281.75,11.0,121.86378563600563,-1.8038188597429752,0.7389509980191846,0.11313011857400279
160,2773.067933286556,1894.431354771053,0.9225869423926216,8,181.0,280.375,10.75,291.0479160593425,-4.831469907160489,-0.005323351184451042,0.021351546444841052
161,3152.0607501461386,1891.6366623612357,1.2088374926279493,8,183.75,279.125,10.875,379.00322884667355,-1.4816218397499128,-0.7748532686993101,0.1638566431295051
162,3857.219033037172,1686.2915744138313,0.9338369934427168,9,196.33333333333334,274.0,10.666666666666666,734.4486943954847,4.294768241652839,-3.8757565951123425,0.02031794741216597
163,3671.2815837827957,1932.5723536362343,1.136062580969387,10,193.9,267.1,10.7,308.58872005438883,2.599316749239513,-1.6330051311682325,0.09796951736952231
164,3483.5114871795176,2406.2621541614258,0.93710246070885,11,198.9090909090909,272.0,10.909090909090908,509.54850199478506,0.9395603558360506,2.8046276473487524,-0.04575688451921822
165,3463.520032821132,2436.183865734212,0.907671692590041,11,195.1818181818182,270.72727272727275,10.909090909090908,35.985662936487934,0.5813020190422264,2.538899077096019,-0.1124476756561078
166,3459.3638589594616,2438.2890783342186,0.8925172517743666,11,196.72727272727272,270.27272727272725,11.181818181818182,4.65896242920434,0.2678793738193974,2.181384218776209,-0.19404681362551146
